YYYY MM DD hh mm ss  julian_day    H10    tm    Hs    dir    tp 
2019  1 24 12  0  0  389.500000      63.000       9.400      49.000     36.000      8.500
2019  1 24 13  0  0  389.541667     170.000       6.700     134.000     22.000      6.100
2019  1 24 14  0  0  389.583333     136.000       7.000     107.000     56.000      7.500
2019  1 24 15  0  0  389.625000     123.000       6.800      97.000     34.000      6.100
2019  1 24 16  0  0  389.666667     111.000       6.900      87.000     49.000      7.500
2019  1 24 17  0  0  389.708333     100.000       7.000      79.000     50.000      6.100
2019  1 24 18  0  0  389.750000     111.000       7.300      88.000     51.000      7.500
2019  1 24 19  0  0  389.791667     103.000       7.300      81.000     33.000      7.500
2019  1 24 20  0  0  389.833333     118.000       7.300      93.000     43.000      7.500
2019  1 24 21  0  0  389.875000     101.000       7.500      79.000     46.000      8.500
2019  1 24 22  0  0  389.916667     104.000       7.900      82.000     55.000      8.500
2019  1 24 23  0  0  389.958333      96.000       7.200      76.000     77.000      6.700
2019  1 25  0  0  0  390.000000     118.000       8.300      93.000     47.000      8.500
2019  1 25  1  0  0  390.041667     101.000       7.700      80.000     56.000      7.500
2019  1 25  2  0  0  390.083333     108.000       7.700      85.000     42.000      8.500
2019  1 25  3  0  0  390.125000      94.000       7.500      74.000     48.000      6.700
2019  1 25  4  0  0  390.166667      99.000       7.500      78.000     15.000      7.500
2019  1 25  5  0  0  390.208333      95.000       7.300      75.000     50.000      7.500
2019  1 25  6  0  0  390.250000     118.000       7.100      93.000     27.000      7.500
2019  1 25  7  0  0  390.291667     110.000       7.400      86.000     44.000      7.500
2019  1 25  8  0  0  390.333333     112.000       7.000      88.000     53.000      6.700
2019  1 25  9  0  0  390.375000      95.000       7.200      75.000     49.000      7.500
2019  1 25 10  0  0  390.416667      99.000       7.300      78.000     28.000      7.500
2019  1 25 11  0  0  390.458333      83.000       7.300      65.000     63.000      6.700
2019  1 25 12  0  0  390.500000      97.000       7.300      76.000     27.000      6.100
2019  1 25 13  0  0  390.541667     108.000       7.400      85.000     37.000      5.600
2019  1 25 14  0  0  390.583333     121.000       6.700      95.000     21.000      5.100
2019  1 25 15  0  0  390.625000     141.000       6.800     111.000     23.000      5.100
2019  1 25 16  0  0  390.666667     186.000       6.700     146.000    327.000      4.700
2019  1 25 17  0  0  390.708333     296.000       6.800     233.000    353.000      6.700
2019  1 25 18  0  0  390.750000     232.000       6.800     183.000      3.000      6.700
2019  1 25 19  0  0  390.791667     222.000       7.000     175.000      5.000      6.700
2019  1 25 20  0  0  390.833333     206.000       7.200     162.000     25.000      6.700
2019  1 25 21  0  0  390.875000     256.000       7.500     201.000     37.000      7.500
2019  1 25 22  0  0  390.916667     256.000       8.000     202.000     36.000      7.500
2019  1 25 23  0  0  390.958333     269.000       7.600     212.000     49.000      8.500
2019  1 26  0  0  0  391.000000     263.000       7.200     207.000     52.000      7.500
